"","year","population","co2"
"17895",1792,NA,0.469
"17896",1793,NA,0.48
"17897",1794,NA,0.443
"17898",1795,NA,0.447
"17899",1796,NA,0.535
"17900",1797,NA,0.55
"17901",1798,NA,0.575
"17902",1799,NA,0.627
"17903",1800,1.8e+07,0.795
"17904",1801,18294612,0.535
"17905",1802,18594046,0.553
"17906",1803,18898381,0.535
"17907",1804,19207698,1.008
"17908",1805,19522077,1.041
"17909",1806,19841601,0.938
"17910",1807,20166356,2.689
"17911",1808,20496425,0.898
"17912",1809,20831897,0.931
"17913",1810,21178441,0.978
"17914",1811,21525076,0.927
"17915",1812,21877384,0.912
"17916",1813,22235459,0.89
"17917",1814,22599394,0.883
"17918",1815,22969286,1.03
"17919",1816,23345232,2.385
"17920",1817,23727332,3.382
"17921",1818,24115685,3.532
"17922",1819,24488367,3.276
"17923",1820,24844857,3.382
"17924",1821,25184625,3.532
"17925",1822,25507128,3.631
"17926",1823,25811809,4.034
"17927",1824,26120130,3.232
"17928",1825,26432134,4.338
"17929",1826,26747865,4.188
"17930",1827,27067367,4.54
"17931",1828,27390685,4.54
"17932",1829,27709637,3.631
"17933",1830,28024082,4.793
"17934",1831,28333882,4.591
"17935",1832,28638891,3.448
"17936",1833,28938965,4.378
"17937",1834,29242182,4.411
"17938",1835,29548576,4.932
"17939",1836,29858181,5.192
"17940",1837,30171030,5.95
"17941",1838,30487157,6.632
"17942",1839,30791884,7.02
"17943",1840,31084973,9.175
"17944",1841,31366182,9.548
"17945",1842,31635265,10.882
"17946",1843,31891972,10.3
"17947",1844,32150762,10.882
"17948",1845,32411652,12.611
"17949",1846,32674660,13.187
"17950",1847,32939801,13.839
"17951",1848,33207094,12.828
"17952",1849,33466493,13.623
"17953",1850,33717866,15.14
"17954",1851,33977773,16.869
"17955",1852,34229621,19.174
"17956",1853,34473260,20.76
"17957",1854,34718626,24.366
"17958",1855,34965729,28.616
"17959",1856,35214583,30.924
"17960",1857,35465199,32.939
"17961",1858,35717590,35.61
