"Altitude","Oxygen","Similar_location","Temperature"
0,20.9,"Sea Level",14.5439541812438
304,20.1,"",9.40135392278286
609,19.4,"",13.1370181337968
914,18.6,"Chamonix, France (3,264 ft. – 995m)",9.60691390838215
1219,17.9,"Salt Lake City, UT (4,226 ft. – 1288m)",11.5033993074648
1524,17.3,"Boulder, CO (5,430 ft. – 1655m)",6.66288322641626
1828,16.6,"Stanley, ID (6,253 ft. – 1906m)",3.3762949568477
2133,16,"Flagstaff, AZ (6,910 – 2106m)",2.97152414379302
2438,15.4,"Aspen, CO (7,907 ft. – 2410m)",-2.97245004658346
2743,14.8,"",-1.89766139764142
3048,14.3,"Leadville, CO (10,200 ft. – 3109m)",-4.17078302463336
3352,13.7,"Cusco, Peru (11,152ft – 3399 m)",-8.19746241483576
3657,13.2,"La Paz, Bolivia (11,942 ft. – 3640m)",-9.29702466335428
3962,12.7,"",-12.9006122567266
4267,12.3,"Pikes Peak, CO (14,115 ft. – 4302m)",-12.867526097959
4572,11.8,"Mount Rainier (14,411 ft. – 4392m)",-15.6622174260436
4876,11.4,"",-16.8122917624301
5181,11,"Everest Base Camp (16,900 ft. – 5150m)",-17.0998551651
5486,10.5,"",-20.5205397618248
5791,10.1,"Mt. Kilimanjaro (19,341 ft. – 5895m)",-25.3577585804729
6096,9.7,"Mt. Denali (20,310 ft. – 6190m)",-25.1855753009031
6400,9.4,"E-100 Altitude Generator Max",-28.0963364937048
6705,9,"",-25.2372863171002
7010,8.7,"Aconcagua (22,841 ft. – 6960m)",-31.9785802379442
7315,8.4,"",-32.5307689032552
7620,8.1,"",-32.3405234821065
7924,7.8,"",-36.9554138473754
8229,7.5,"Cho Oyu (26,864 ft. – 8188m)",-38.6289034813945
8534,7.2,"K2 (28,251 ft. – 8611m)",-41.2255385248236
8839,6.9,"Mt. Everest (29,029 ft. – 8848m)",-40.8076851474756
9144,6.3,"Elevate High Flow Max",-42.3978981911408
